trace_name,allocator,rebalance_strategy,miss_ratio,n_rebalanced_slabs,allocFactor,base_dir,cacheSizeMB,compressed,countColdTailHitsOnly,cpu_requirement,enableLookaside,enableTailHitsTracking,generator,ignoreLargeReq,lru2qColdPct,lru2qHotPct,lruRefreshSec,maxAllocSize,memory_requirement,mhMovingAverageParam,minAllocSize,miss_ratio_percent_reduction_from_disabled,miss_ratio_percent_reduction_from_lru_disabled,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,monitor_interval,moveOnSlabRelease,n_alloc_failures,numOps,numThreads,onlySetIfMiss,poolRebalanceIntervalSec,poolResizeIntervalSec,prepopulateCache,purpose,rebalanceDiffRatio,rebalanceStrategy,rebalanced_slabs,repeatOpCount,repeatTraceReplay,replayGeneratorConfig,slab_cnt,slab_size,tag,throughput,timestampFactor,traceFileName,trace_file,tuned_improvement,tuned_percent_improvement,useTraceTimer,uuid,wsr,wss_mb,zstdTrace
alibabaBlock2020.oracleGeneral.sample10.zst,LRU,disabled,0.31357147954238584,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,120056,True,,2.5,True,,oracle-general-replay,True,0.0,100.0,0,4194304,180084.0,,72,0.0,0.0,0.0,0.0,50000,False,0,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},29961,4,,31781.533067815602,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/alibabaBlock2020.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/alibabaBlock2020.oracleGeneral.sample10.zst,,,False,alibabaBlock2020.oracleGeneral.sample10.zst-c3b0598a4539100a3afa56a0f4839b59,0.01,11984115.240234375,True
sjc.oracleGeneral.sample10.zst,LRU,disabled,0.1619020373768569,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,145004,True,,2.5,True,,oracle-general-replay,True,0.0,100.0,0,4194304,217506.0,,72,0.0,0.0,0.0,0.0,50000,False,1707,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},36188,4,,18954.43246577757,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/sjc.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/sjc.oracleGeneral.sample10.zst,,,False,sjc.oracleGeneral.sample10.zst-7af43c360dfd6c350a55079fc71cffd0,0.01,14474920.580751419,True
sjc.oracleGeneral.sample10.zst,TINYLFU,marginal-hits,0.14213659694427622,4137,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,145004,True,True,2.5,True,True,oracle-general-replay,True,,,0,4194304,217506.0,0.3,72,,0.12208271589920128,,0.01976544043258069,50000,False,7,100000000000,1,False,1,0,True,efficiency,,marginal-hits-old,0,True,False,{'ampFactor': 1},36188,4,,15088.31917258637,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/sjc.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/sjc.oracleGeneral.sample10.zst,,,False,sjc.oracleGeneral.sample10.zst-0bd6cef3e67d6249ccb2d888400d976a,0.01,14474920.580751419,True
tencent_block.oracleGeneral.sample10.zst,S3FIFO,hits,0.09026364084195433,4852,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,67920,True,,2.5,True,,oracle-general-replay,True,,,0,4194304,101880.0,,72,,,,,50000,False,0,100000000000,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},16950,4,,133904.48909354475,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_block.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_block.oracleGeneral.sample10.zst,,,False,tencent_block.oracleGeneral.sample10.zst-30abf933f2df9916bc81e934c1960067,0.01,6779851.425292969,True
tencent_photo1.oracleGeneral.sample10.zst,S3FIFO,hits,0.392852057739055,546,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,12692,True,,2.5,True,,oracle-general-replay,True,,,0,4194304,19038.0,,72,,,,,50000,False,2,100000000000,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},3166,4,,78488.34528338055,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_photo1.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_photo1.oracleGeneral.sample10.zst,,,False,tencent_photo1.oracleGeneral.sample10.zst-462523be1cd44c3ceb5952fe65396d4c,0.01,1266307.5050945282,True
tencent_photo1.oracleGeneral.sample10.zst,LRU2Q,marginal-hits,0.39878874687104826,5813,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,12692,True,True,2.5,True,True,oracle-general-replay,True,30.0,30.0,0,4194304,19038.0,0.3,72,,,,,50000,False,2,100000000000,1,False,1,0,True,efficiency,,marginal-hits-old,0,True,False,{'ampFactor': 1},3166,4,cold,72768.95297446931,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_photo1.oracleGeneral.sample10.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/tencent_photo1.oracleGeneral.sample10.zst,,,False,tencent_photo1.oracleGeneral.sample10.zst-32144ceb7aac722aca01465fe2e1f56b,0.01,1266307.5050945282,True
w63.oracleGeneral.bin.zst,LRU,disabled,0.8358956137511785,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,604,True,,2.5,True,,oracle-general-replay,True,0.0,100.0,0,4194304,906.0,,72,0.0,0.0,0.0,0.0,50000,False,1355,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},149,4,,80976.03186745648,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,,,False,w63.oracleGeneral.bin.zst-505c9b93020c402f29d7afb7bd07bb7c,0.01,59484.48974609375,True
w63.oracleGeneral.bin.zst,LRU2Q,disabled,0.8064568400467532,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,604,True,,2.5,True,,oracle-general-replay,True,30.0,30.0,0,4194304,906.0,,72,0.0,0.03521824163224803,0.0,0.02943877370442527,50000,False,1355,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},149,4,,5893.6787031522945,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,,,False,w63.oracleGeneral.bin.zst-e55212ae0afedc54b30189b481986ba3,0.01,59484.48974609375,True
w63.oracleGeneral.bin.zst,S3FIFO,disabled,0.7798651985711356,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,604,True,,2.5,True,,oracle-general-replay,True,,,0,4194304,906.0,,72,0.0,0.06703039740644162,0.0,0.056030415180042925,50000,False,1355,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},149,4,,6218.138238149746,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,,,False,w63.oracleGeneral.bin.zst-0cf67f67d295837b85fb79cdef0d982c,0.01,59484.48974609375,True
w63.oracleGeneral.bin.zst,TINYLFU,disabled,0.79624854855636,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_s3fifo,604,True,,2.5,True,,oracle-general-replay,True,,,0,4194304,906.0,,72,0.0,0.047430641509048875,0.0,0.03964706519481853,50000,False,1355,100000000000,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},149,4,,72728.8858160803,1,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,/mnt/data/privworkload/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/.priv/w63.oracleGeneral.bin.zst,,,False,w63.oracleGeneral.bin.zst-bc7b3f712af80584dbc79b8915c02d39,0.01,59484.48974609375,True
